type,title,director,country,date_added,release_year,rating,duration,listed_in,year_added,month_added,day_added,duration_int
Movie,Waiting for Superman,Davis Guggenheim,United States,2020-09-07,2010,PG,111 min,Documentaries,2020,9,7,111
Movie,Villain,Philip Barantini,United Kingdom,2020-09-05,2020,R,97 min,Dramas,2020,9,5,97
Movie,I'm Thinking of Ending Things,Charlie Kaufman,United States,2020-09-04,2020,R,135 min,"Dramas, Independent Movies",2020,9,4,135
Movie,Bittersweet,Khaled Marei,Egypt,2020-04-25,2010,TV-MA,132 min,"Comedies, Dramas, International Movies",2020,4,25,132
Movie,Kandasamys: The Wedding,Jayan Moodley,South Africa,2020-09-04,2019,TV-14,93 min,"Comedies, Dramas, International Movies",2020,9,4,93
Movie,The Lost Okoroshi,Abba T. Makama,Nigeria,2020-09-04,2019,TV-MA,94 min,"Comedies, Dramas, Independent Movies",2020,9,4,94
Movie,You're My Boss,Antoinette Jadaone,Philippines,2020-09-04,2015,TV-14,117 min,"Comedies, International Movies, Romantic Movies",2020,9,4,117
Movie,Afonso Padilha: Classless,"Junior Carelli, Rudge Campos",Brazil,2020-09-03,2020,TV-MA,63 min,Stand-Up Comedy,2020,9,3,63
Movie,Ave Maryam,Ertanto Robby Soediskam,Indonesia,2020-09-03,2018,TV-PG,73 min,"Dramas, Independent Movies, International Movies",2020,9,3,73
Movie,"Love, Guaranteed",Mark Steven Johnson,United States,2020-09-03,2020,TV-PG,91 min,"Comedies, Independent Movies, Romantic Movies",2020,9,3,91
Movie,Freaks – You're One of Us,Felix Binder,Germany,2020-09-02,2020,TV-MA,93 min,"Dramas, Independent Movies, International Movies",2020,9,2,93
Movie,Hotel for Dogs,Thor Freudenthal,Germany,2020-09-02,2009,PG,101 min,"Children & Family Movies, Comedies",2020,9,2,101
Movie,Sky Tour: The Movie,Nguyen Thanh Tung,Vietnam,2020-09-02,2020,TV-G,93 min,"Documentaries, International Movies, Music & Musicals",2020,9,2,93
Movie,Adrift,Baltasar Kormákur,Hong Kong,2020-09-01,2018,PG-13,96 min,"Action & Adventure, Dramas, Romantic Movies",2020,9,1,96
Movie,Always Be My Maybe,Dan Villegas,Philippines,2020-09-01,2016,TV-14,112 min,"International Movies, Romantic Movies",2020,9,1,112
Movie,Barbie Princess Adventure,Conrad Helten,Netherlands,2020-09-01,2020,TV-Y,72 min,"Children & Family Movies, Music & Musicals",2020,9,1,72
Movie,Maniyarayile Ashokan,Shamzu Zayba,India,2020-08-31,2020,TV-14,110 min,"Comedies, International Movies, Romantic Movies",2020,8,31,110
Movie,Children of the Sea,Ayumu Watanabe,Japan,2020-09-01,2019,TV-PG,112 min,"Anime Features, International Movies",2020,9,1,112
Movie,Fate/Grand Order -First Order-,Hitoshi Namba,Japan,2020-09-01,2016,TV-14,72 min,"Action & Adventure, Anime Features, International Movies",2020,9,1,72
Movie,Puss in Boots,Chris Miller,United States,2020-09-01,2011,PG,92 min,"Children & Family Movies, Comedies",2020,9,1,92
Movie,Sex Drive,Sean Anders,United States,2020-09-01,2008,R,109 min,Comedies,2020,9,1,109
Movie,Soldier,Abbas Mustan,India,2020-09-01,1998,TV-14,155 min,"Comedies, Dramas, International Movies",2020,9,1,155
Movie,"Take the Ball, Pass the Ball",Duncan McMath,Spain,2020-09-01,2018,TV-MA,109 min,"Documentaries, International Movies, Sports Movies",2020,9,1,109
Movie,The Boss Baby: Get That Baby!,"Dan Forgione, Pete Jacobs, Matt Whitlock",United States,2020-09-01,2020,TV-Y7,115 min,"Children & Family Movies, Comedies",2020,9,1,115
Movie,The Match,Francesco Carnesecchi,Italy,2020-09-01,2020,TV-MA,97 min,"Dramas, International Movies, Sports Movies",2020,9,1,97
Movie,The Smurfs,Raja Gosnell,United States,2020-09-01,2011,PG,103 min,"Children & Family Movies, Comedies",2020,9,1,103
TV Show,Thomas and Friends,Greg Tiernan,United Kingdom,2020-09-01,2020,TV-Y,2 Seasons,"British TV Shows, Classic & Cult TV, Kids' TV",2020,9,1,2
Movie,True: Friendship Day,"Mark Thornton, Todd Kauffman",Canada,2020-09-01,2020,TV-Y,24 min,Children & Family Movies,2020,9,1,24
Movie,The Debt Collector 2,Jesse V. Johnson,United States,2020-08-31,2020,TV-MA,97 min,Action & Adventure,2020,8,31,97
Movie,All Together Now,Brett Haley,United States,2020-08-29,2020,PG,94 min,Dramas,2020,8,29,94
Movie,Santana,"Chris Roland, Maradona Dias Dos Santos",South Africa,2020-08-28,2020,TV-MA,107 min,"Action & Adventure, International Movies",2020,8,28,107
Movie,Unknown Origins,David Galán Galindo,Spain,2020-08-28,2020,TV-MA,97 min,"International Movies, Thrillers",2020,8,28,97
Movie,Edge of Seventeen,David Moreton,United States,2020-08-27,1998,TV-MA,103 min,"Comedies, Dramas, Independent Movies",2020,8,27,103
Movie,The Bridge Curse,Lester Hsi,Taiwan,2020-08-27,2020,TV-MA,88 min,"Horror Movies, International Movies, Thrillers",2020,8,27,88
Movie,The Young Messiah,Cyrus Nowrasteh,United States,2020-08-27,2016,PG-13,111 min,"Dramas, Faith & Spirituality",2020,8,27,111
Movie,Lingua Franca,Isabel Sandoval,United States,2020-08-26,2019,TV-MA,94 min,"Dramas, International Movies, LGBTQ Movies",2020,8,26,94
Movie,Making The Witcher,Nathan Wiley,United States,2020-08-26,2020,TV-MA,33 min,Documentaries,2020,8,26,33
Movie,Septembers of Shiraz,Wayne Blair,United States,2020-08-24,2016,PG-13,110 min,"Dramas, Thrillers",2020,8,24,110
Movie,Class of '83,Atul Sabharwal,India,2020-08-21,2020,TV-14,98 min,"Dramas, International Movies, Thrillers",2020,8,21,98
Movie,Dark Forces,Bernardo Arellano,Mexico,2020-08-21,2020,TV-MA,81 min,"Horror Movies, Independent Movies, International Movies",2020,8,21,81
Movie,The Sleepover,Trish Sie,United States,2020-08-21,2020,TV-PG,104 min,"Action & Adventure, Children & Family Movies, Comedies",2020,8,21,104
TV Show,Goedam,Hong Won-ki,South Korea,2020-08-20,2020,TV-MA,1 Season,"International TV Shows, TV Horror, TV Mysteries",2020,8,20,1
Movie,Scarecrow,Khaled Marei,Egypt,2020-08-20,2019,TV-MA,121 min,"Comedies, International Movies",2020,8,20,121
Movie,The Crimes That Bind,Sebastián Schindel,Argentina,2020-08-20,2020,TV-14,100 min,"Dramas, International Movies",2020,8,20,100
Movie,Drunk Parents,Fred Wolf,United States,2020-08-18,2019,R,97 min,Comedies,2020,8,18,97
Movie,Meet the In-Laws,Niyi Akinmolayan,Nigeria,2020-08-18,2017,TV-PG,75 min,"Comedies, Dramas, International Movies",2020,8,18,75
Movie,Crazy Awesome Teachers,Sammaria Sari Simanjuntak,Indonesia,2020-08-17,2020,TV-PG,102 min,"Comedies, Dramas, International Movies",2020,8,17,102
Movie,Islands of Faith,Chairun Nissa,Indonesia,2020-08-17,2018,TV-PG,88 min,"Documentaries, Faith & Spirituality, International Movies",2020,8,17,88
Movie,Les Misérables,Tom Hooper,United Kingdom,2020-08-16,2012,PG-13,158 min,"Dramas, International Movies, Music & Musicals",2020,8,16,158
Movie,Seventh Son,Sergei Bodrov,United States,2020-08-16,2014,PG-13,102 min,"Action & Adventure, Sci-Fi & Fantasy",2020,8,16,102
Movie,What's Your Raashee?,Ashutosh Gowariker,India,2020-08-15,2009,TV-PG,203 min,"Comedies, International Movies, Music & Musicals",2020,8,15,203
Movie,Fearless,Cory Edwards,Canada,2020-08-14,2020,TV-Y7,92 min,"Children & Family Movies, Comedies",2020,8,14,92
Movie,Nigerian Prince,Faraday Okoro,United States,2020-08-14,2018,TV-MA,104 min,"Dramas, Independent Movies",2020,8,14,104
Movie,Octonauts & the Caves of Sac Actun,Blair Simmons,United Kingdom,2020-08-14,2020,TV-Y,72 min,Children & Family Movies,2020,8,14,72
Movie,Project Power,"Henry Joost, Ariel Schulman",United States,2020-08-14,2020,R,113 min,Action & Adventure,2020,8,14,113
Movie,An Easy Girl,Rebecca Zlotowski,France,2020-08-13,2019,TV-MA,93 min,"Comedies, Dramas, International Movies",2020,8,13,93
Movie,Christine,Antonio Campos,United Kingdom,2020-08-13,2016,R,119 min,"Dramas, Independent Movies",2020,8,13,119
Movie,Simon Killer,Antonio Campos,United States,2020-08-13,2012,TV-MA,105 min,"Dramas, Independent Movies, Thrillers",2020,8,13,105
Movie,Diamonds in the Sky,Kunle Afolayan,Nigeria,2020-08-08,2018,TV-14,113 min,"Dramas, International Movies",2020,8,8,113
Movie,Gunjan Saxena: The Kargil Girl,Sharan Sharma,India,2020-08-12,2020,TV-14,113 min,"Action & Adventure, Dramas, International Movies",2020,8,12,113
Movie,Mr. Peabody & Sherman,Rob Minkoff,United States,2020-08-11,2014,PG,93 min,"Children & Family Movies, Comedies, Sci-Fi & Fantasy",2020,8,11,93
Movie,"Rob Schneider: Asian Momma, Mexican Kids",Tyler Spindel,United States,2020-08-11,2020,TV-MA,44 min,Stand-Up Comedy,2020,8,11,44
Movie,The Lost Husband,Vicky Wight,United States,2020-08-10,2020,PG-13,110 min,"Dramas, Romantic Movies",2020,8,10,110
Movie,We Summon the Darkness,Marc Meyers,United States,2020-08-08,2020,R,90 min,"Horror Movies, Thrillers",2020,8,8,90
Movie,"Berlin, Berlin: Lolle on the Run",Franziska Meyer Price,Germany,2020-08-07,2020,TV-MA,82 min,"Comedies, International Movies",2020,8,7,82
Movie,Stars in the Sky: A Hunting Story,Steven Rinella,United States,2020-08-07,2018,TV-14,69 min,Documentaries,2020,8,7,69
Movie,The Magic School Bus Rides Again Kids In Space,Richard Weston,United States,2020-08-07,2020,TV-Y,46 min,Children & Family Movies,2020,8,7,46
Movie,Work It,Laura Terruso,United States,2020-08-07,2020,TV-14,94 min,Comedies,2020,8,7,94
Movie,Nasha Natasha,Martín Sastre,Uruguay,2020-08-06,2020,TV-PG,72 min,"Documentaries, International Movies, Music & Musicals",2020,8,6,72
Movie,A Go! Go! Cory Carson Summer Camp,"Stanley Moore, Alex Woo",United States,2020-08-04,2020,TV-Y,21 min,Children & Family Movies,2020,8,4,21
Movie,Anelka: Misunderstood,Franck Nataf,France,2020-08-05,2020,TV-14,95 min,"Documentaries, International Movies, Sports Movies",2020,8,5,95
Movie,Malibu Rescue: The Next Wave,Savage Steve Holland,United States,2020-08-04,2020,TV-G,71 min,"Children & Family Movies, Comedies",2020,8,4,71
Movie,Sam Jay: 3 In The Morning,Kristian Mercado,United States,2020-08-04,2020,TV-MA,64 min,Stand-Up Comedy,2020,8,4,64
Movie,Almost Love,Mike Doyle,United States,2020-08-02,2020,TV-MA,92 min,"Comedies, Dramas, Independent Movies",2020,8,2,92
Movie,Killing Hasselhoff,Darren Grant,United States,2020-08-01,2017,R,80 min,Comedies,2020,8,1,80
Movie,Rogue Warfare: The Hunt,Mike Gunther,United States,2020-08-01,2020,R,104 min,Action & Adventure,2020,8,1,104
Movie,Super Monsters: The New Class,Steve Ball,Canada,2020-08-01,2020,TV-Y,25 min,Children & Family Movies,2020,8,1,25
Movie,Shine Your Eyes,Matias Mariani,Brazil,2020-07-29,2020,TV-MA,103 min,"Dramas, Independent Movies, International Movies",2020,7,29,103
Movie,The Ottoman Lieutenant,Joseph Ruben,Turkey,2020-08-01,2017,R,111 min,"Dramas, Romantic Movies",2020,8,1,111
Movie,What Keeps You Alive,Colin Minihan,Canada,2020-08-01,2018,R,99 min,"LGBTQ Movies, Thrillers",2020,8,1,99
Movie,Latte and the Magic Waterstone,"Regina Welker, Nina Wels",Germany,2020-07-31,2020,TV-Y,83 min,"Children & Family Movies, Comedies",2020,7,31,83
Movie,Raat Akeli Hai,Honey Trehan,India,2020-07-31,2020,TV-MA,150 min,"Dramas, International Movies, Thrillers",2020,7,31,150
Movie,Seriously Single,"Katleho Ramaphakela, Rethabile Ramaphakela",South Africa,2020-07-31,2020,TV-MA,108 min,"Comedies, International Movies, Romantic Movies",2020,7,31,108
Movie,Sugar High,Ariel Boles,United States,2020-07-31,2020,TV-G,44 min,Children & Family Movies,2020,7,31,44
Movie,Retablo,Álvaro Delgado-Aparicio L.,Peru,2020-07-30,2017,TV-MA,102 min,"Dramas, International Movies",2020,7,30,102
Movie,Uma Maheswara Ugra Roopasya,Venkatesh Maha,India,2020-07-30,2020,TV-MA,137 min,"Comedies, Dramas, Independent Movies",2020,7,30,137
Movie,It's Her Day,Aniedi Anwah,Nigeria,2020-07-29,2016,TV-MA,112 min,"Comedies, International Movies, Romantic Movies",2020,7,29,112
Movie,Redemption,Mickey Fonseca,Mozambique,2020-07-29,2019,TV-MA,102 min,"Dramas, International Movies, Thrillers",2020,7,29,102
Movie,The Hater,Jan Komasa,Poland,2020-07-29,2020,TV-MA,136 min,"Dramas, International Movies, Thrillers",2020,7,29,136
Movie,The Speed Cubers,Sue Kim,United States,2020-07-29,2020,TV-PG,41 min,Documentaries,2020,7,29,41
Movie,Tread,Paul Solet,United States,2020-07-29,2019,TV-MA,88 min,Documentaries,2020,7,29,88
Movie,Banana Split,Ben Kasulke,United States,2020-07-26,2020,TV-MA,84 min,"Comedies, Dramas, Independent Movies",2020,7,26,84
Movie,Door Ke Darshan,Gagan Puri,India,2020-07-25,2020,TV-14,114 min,"Comedies, International Movies",2020,7,25,114
Movie,Double World,Teddy Chan,China,2020-07-25,2020,TV-14,110 min,"Action & Adventure, International Movies",2020,7,25,110
Movie,Project Marathwada,Bhavin Wadia,India,2020-07-25,2016,TV-MA,103 min,"Dramas, Independent Movies, International Movies",2020,7,25,103
Movie,Animal Crackers,"Tony Bancroft, Scott Christian Sava",China,2020-07-24,2020,TV-Y7,106 min,"Children & Family Movies, Comedies",2020,7,24,106
Movie,Dragons: Rescue Riders: Secrets of the Songwing,"Greg Rankin, TJ Sullivan",United States,2020-07-24,2020,TV-Y,46 min,"Children & Family Movies, Comedies",2020,7,24,46
Movie,Nimbe,Tope Alake,Nigeria,2020-07-24,2019,TV-MA,115 min,"Dramas, International Movies",2020,7,24,115
Movie,Offering to the Storm,Fernando González Molina,Spain,2020-07-24,2020,TV-MA,140 min,"International Movies, Thrillers",2020,7,24,140
Movie,Romance Doll,Yuki Tanada,Japan,2020-07-24,2020,TV-MA,124 min,"Dramas, International Movies, Romantic Movies",2020,7,24,124
Movie,The Kissing Booth 2,Vince Marcello,United Kingdom,2020-07-24,2020,TV-14,133 min,"Comedies, Romantic Movies",2020,7,24,133
TV Show,Sinatra: All or Nothing at All,Alex Gibney,United States,2020-07-23,2015,TV-14,1 Season,Docuseries,2020,7,23,1
Movie,The Larva Island Movie,Ahn Byoung-wook,South Korea,2020-07-23,2020,TV-Y7,91 min,"Children & Family Movies, Comedies",2020,7,23,91
Movie,The Letter Reader,Sibusiso Khuzwayo,South Africa,2020-07-23,2019,TV-PG,30 min,"Dramas, International Movies",2020,7,23,30
Movie,The Remix: Hip Hop X Fashion,"Lisa Cortés, Farah X",United States,2020-07-22,2019,TV-MA,67 min,"Documentaries, Music & Musicals",2020,7,22,67
Movie,Ip Man 4: The Finale,Wilson Yip,Hong Kong,2020-07-21,2019,TV-MA,105 min,"Action & Adventure, Dramas, International Movies",2020,7,21,105
Movie,Jack Whitehall: I'm Only Joking,"Dave Skinner, Freddie Waters",United Kingdom,2020-07-21,2020,TV-MA,58 min,Stand-Up Comedy,2020,7,21,58
Movie,Funan,Denis Do,France,2020-07-18,2018,TV-14,87 min,"Dramas, International Movies",2020,7,18,87
Movie,Father Soldier Son,"Leslye Davis, Catrin Einhorn",United States,2020-07-17,2020,R,100 min,Documentaries,2020,7,17,100
Movie,The Millions,"Toka McBaror, Tunde Apalowo",Nigeria,2020-07-17,2019,TV-MA,95 min,"Comedies, International Movies",2020,7,17,95
Movie,Fatal Affair,Peter Sullivan,United States,2020-07-16,2020,TV-14,90 min,Thrillers,2020,7,16,90
Movie,MILF,Axelle Laffont,France,2020-07-16,2018,TV-MA,102 min,"Comedies, International Movies, Romantic Movies",2020,7,16,102
Movie,Cold Feet,Moses Inwang,Nigeria,2020-07-15,2019,TV-14,98 min,"Dramas, International Movies, Romantic Movies",2020,7,15,98
Movie,Sylvia,Daniel Oriahi,Nigeria,2020-07-15,2018,TV-14,104 min,"Dramas, International Movies, Thrillers",2020,7,15,104
Movie,The Players,Stefano Mordini,Italy,2020-07-15,2020,TV-MA,89 min,"Comedies, International Movies",2020,7,15,89
Movie,Urzila Carlson: Overqualified Loser,Hayden Guppy,Australia,2020-07-14,2020,TV-MA,62 min,Stand-Up Comedy,2020,7,14,62
Movie,We Are One,Stéphane de Freitas,France,2020-07-14,2020,TV-MA,86 min,"Documentaries, International Movies, Music & Musicals",2020,7,14,86
Movie,Hole in the Wall,"André Odendaal, Johan Vorster",South Africa,2020-07-11,2016,TV-MA,104 min,"Dramas, International Movies",2020,7,11,104
TV Show,Dating Around: Brazil,Cassia Dian,Brazil,2020-07-10,2020,TV-14,1 Season,"International TV Shows, Reality TV, Romantic TV Shows",2020,7,10,1
Movie,Mama's Boy,Amro Salah,Egypt,2020-07-10,2018,TV-14,101 min,"Comedies, International Movies",2020,7,10,101
Movie,The Claudia Kishi Club,Sue Ding,United States,2020-07-10,2020,TV-14,17 min,Documentaries,2020,7,10,17
Movie,The Old Guard,Gina Prince-Bythewood,United States,2020-07-10,2020,R,126 min,Action & Adventure,2020,7,10,126
TV Show,The Twelve,Wouter Bouvijn,Belgium,2020-07-10,2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",2020,7,10,1
Movie,Born Racer,Bryn Evans,New Zealand,2020-07-08,2018,R,89 min,"Documentaries, Sports Movies",2020,7,8,89
Movie,Mucho Mucho Amor: The Legend of Walter Mercado,"Cristina Costantini, Kareem Tabsch",United States,2020-07-08,2020,TV-14,96 min,"Documentaries, LGBTQ Movies",2020,7,8,96
Movie,The Long Dumb Road,Hannah Fidell,United States,2020-07-08,2018,R,91 min,"Comedies, Independent Movies",2020,7,8,91
Movie,Dr. Seuss' The Lorax,"Chris Renaud, Kyle Balda",United States,2020-07-07,2012,PG,86 min,Children & Family Movies,2020,7,7,86
Movie,A Kid from Coney Island,"Coodie, Chike",United States,2020-07-06,2019,TV-MA,89 min,"Documentaries, Sports Movies",2020,7,6,89
Movie,Aiyyaa,Sachin Kundalkar,India,2020-07-05,2012,TV-14,151 min,"Comedies, International Movies, Music & Musicals",2020,7,5,151
Movie,Bbuddah Hoga Terra Baap,Puri Jagannadh,India,2020-07-05,2011,TV-14,116 min,"Action & Adventure, Comedies, Dramas",2020,7,5,116
Movie,Blood Money,Vishal Mahadkar,India,2020-07-05,2012,TV-14,110 min,"Dramas, International Movies, Romantic Movies",2020,7,5,110
Movie,Bombay Talkies,"Anurag Kashyap, Dibakar Banerjee, Karan Johar, Zoya Akhtar",India,2020-07-05,2013,TV-MA,123 min,"Dramas, International Movies",2020,7,5,123
Movie,Boss,Anthony D'Souza,India,2020-07-05,2013,TV-14,139 min,"Action & Adventure, Comedies, Dramas",2020,7,5,139
Movie,Budhia Singh: Born to Run,Soumendra Padhi,India,2020-07-05,2016,TV-MA,95 min,"Dramas, Independent Movies, International Movies",2020,7,5,95
Movie,Chashme Baddoor,David Dhawan,India,2020-07-05,2013,TV-14,121 min,"Comedies, International Movies, Music & Musicals",2020,7,5,121
Movie,Dharam Sankat Mein,Fuwad Khan,India,2020-07-05,2015,TV-PG,127 min,"Comedies, Dramas, International Movies",2020,7,5,127
Movie,Drishyam,Nishikant Kamat,India,2020-07-05,2015,TV-14,162 min,"Dramas, International Movies, Thrillers",2020,7,5,162
Movie,Gabbar Is Back,Krish,India,2020-07-05,2015,TV-14,128 min,"Action & Adventure, Dramas, International Movies",2020,7,5,128
Movie,Gollu Aur Pappu,Kabir Sadanand,India,2020-07-05,2014,TV-14,112 min,"Action & Adventure, Comedies, International Movies",2020,7,5,112
TV Show,Hook,Rachit Kusonkoonsiri,Thailand,2020-07-05,2020,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",2020,7,5,1
Movie,Inkaar,Sudhir Mishra,India,2020-07-05,2013,TV-MA,125 min,"Dramas, International Movies, Romantic Movies",2020,7,5,125
Movie,Madras Café,Shoojit Sircar,India,2020-07-05,2013,TV-14,128 min,"Dramas, International Movies, Thrillers",2020,7,5,128
Movie,Mary Kom,Omung Kumar,India,2020-07-05,2014,TV-PG,120 min,"Dramas, International Movies, Sports Movies",2020,7,5,120
Movie,Jim Jefferies: Intolerant,Scott Zabielski,United States,2020-07-07,2020,TV-MA,67 min,Stand-Up Comedy,2020,7,7,67
Movie,Michael,Ribhu Dasgupta,India,2020-07-05,2011,TV-MA,86 min,"Dramas, Independent Movies, International Movies",2020,7,5,86
Movie,Mumbai Delhi Mumbai,Satish Rajwade,India,2020-07-05,2014,TV-MA,107 min,"Comedies, International Movies, Romantic Movies",2020,7,5,107
Movie,Oh My God,Umesh Shukla,India,2020-07-05,2012,TV-PG,129 min,"Comedies, Dramas, International Movies",2020,7,5,129
Movie,One by Two,Devika Bhagat,India,2020-07-05,2014,TV-14,135 min,"Comedies, Dramas, International Movies",2020,7,5,135
Movie,Only,Takashi Doscher,United States,2020-07-05,2019,TV-MA,97 min,"Dramas, Independent Movies, Romantic Movies",2020,7,5,97
Movie,Penalty,Shubham Singh,India,2020-07-05,2019,TV-14,125 min,"Dramas, Independent Movies, International Movies",2020,7,5,125
Movie,Players,"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla",India,2020-07-05,2012,TV-14,162 min,"Action & Adventure, International Movies",2020,7,5,162
Movie,Pyaar Ka Punchnama 2,Luv Ranjan,India,2020-07-05,2015,TV-MA,136 min,"Comedies, Dramas, International Movies",2020,7,5,136
Movie,Queen,Vikas Bahl,India,2020-07-05,2014,TV-MA,138 min,"Comedies, Dramas, International Movies",2020,7,5,138
Movie,Shaitan,Bejoy Nambiar,India,2020-07-05,2011,TV-MA,126 min,"Action & Adventure, Dramas, Independent Movies",2020,7,5,126
Movie,Special 26,Neeraj Pandey,India,2020-07-05,2013,TV-PG,137 min,"Dramas, International Movies, Thrillers",2020,7,5,137
Movie,Tanu Weds Manu,Aanand Rai,India,2020-07-05,2011,TV-14,114 min,"Comedies, Dramas, International Movies",2020,7,5,114
Movie,What the Fish,Gurmmeet Singh,India,2020-07-05,2013,TV-14,96 min,"Comedies, International Movies",2020,7,5,96
Movie,Desperados,LP,United States,2020-07-03,2020,TV-MA,107 min,"Comedies, Romantic Movies",2020,7,3,107
Movie,Hunter in the Blue Side of Manchester,Rako Prijanto,Indonesia,2020-07-03,2020,TV-MA,89 min,"Dramas, International Movies",2020,7,3,89
Movie,I Am Not Your Negro,Raoul Peck,Switzerland,2020-07-03,2017,PG-13,94 min,Documentaries,2020,7,3,94
Movie,Jo Koy: In His Elements,Michael McKay,United States,2020-06-12,2020,TV-MA,55 min,Stand-Up Comedy,2020,6,12,55
Movie,The Perfect Picture: Ten Years Later,Shirley Frimpong-Manso,Ghana,2020-07-03,2019,TV-MA,148 min,"Comedies, Dramas, International Movies",2020,7,3,148
Movie,Thiago Ventura: POKAS,"Fabio Ock, Joana Mazzucchelli",Brazil,2020-07-02,2020,TV-MA,82 min,Stand-Up Comedy,2020,7,2,82
Movie,#AnneFrank - Parallel Stories,"Sabina Fedeli, Anna Migotto",Italy,2020-07-01,2019,TV-14,95 min,"Documentaries, International Movies",2020,7,1,95
TV Show,Abby Hatcher,Kyran Kelly,United States,2020-07-01,2019,TV-Y,1 Season,Kids' TV,2020,7,1,1
Movie,Adú,Salvador Calvo,Spain,2020-07-01,2020,TV-MA,120 min,"Dramas, International Movies",2020,7,1,120
Movie,Ali Baba ve 7 Cüceler,Cem Yılmaz,Turkey,2020-07-01,2015,TV-MA,115 min,"Action & Adventure, Comedies, International Movies",2020,7,1,115
Movie,David Foster: Off the Record,Barry Avrich,Canada,2020-07-01,2019,TV-MA,107 min,"Documentaries, Music & Musicals",2020,7,1,107
Movie,Double Jeopardy,Bruce Beresford,United States,2020-07-01,1999,R,105 min,Thrillers,2020,7,1,105
Movie,Pek Yakında,Cem Yılmaz,Turkey,2020-07-01,2014,TV-MA,134 min,"Comedies, International Movies",2020,7,1,134
Movie,Stardust,Matthew Vaughn,United Kingdom,2020-07-01,2007,PG-13,128 min,"Action & Adventure, International Movies, Romantic Movies",2020,7,1,128
Movie,The F**k-It List,Michael Duggan,United States,2020-07-01,2019,TV-MA,103 min,Comedies,2020,7,1,103
Movie,The Silence of Others,"Almudena Carracedo, Robert Bahar",Spain,2020-07-01,2019,TV-14,96 min,"Documentaries, International Movies",2020,7,1,96
Movie,Total Recall,Paul Verhoeven,United States,2020-07-01,1990,R,114 min,"Action & Adventure, Sci-Fi & Fantasy",2020,7,1,114
Movie,Under the Riccione Sun,Younuts!,Italy,2020-07-01,2020,TV-MA,102 min,"Comedies, International Movies, Romantic Movies",2020,7,1,102
Movie,Thackeray (Marathi),Abhijit Panse,India,2020-06-28,2019,TV-14,135 min,"Dramas, International Movies",2020,6,28,135
Movie,George Lopez: We'll Do It For Half,Troy Miller,United States,2020-06-30,2020,TV-MA,52 min,Stand-Up Comedy,2020,6,30,52
Movie,The Mirror Boy,Obi Emelonye,United Kingdom,2020-06-30,2011,TV-14,86 min,"Action & Adventure, Dramas, International Movies",2020,6,30,86
Movie,#FriendButMarried 2,Rako Prijanto,Indonesia,2020-06-28,2020,TV-G,104 min,"Dramas, International Movies, Romantic Movies",2020,6,28,104
Movie,Skin,Daniel Effiong,Nigeria,2020-06-28,2019,TV-MA,76 min,"Documentaries, International Movies",2020,6,28,76
Movie,Ride Like a Girl,Rachel Griffiths,Australia,2020-06-27,2020,PG,99 min,"Children & Family Movies, Dramas, Independent Movies",2020,6,27,99
Movie,Eurovision Song Contest: The Story of Fire Saga,David Dobkin,United States,2020-06-26,2020,PG-13,124 min,"Comedies, Music & Musicals, Romantic Movies",2020,6,26,124
Movie,Kasanova,Oluseyi Asurf,Nigeria,2020-06-26,2019,TV-14,117 min,"Comedies, International Movies, Romantic Movies",2020,6,26,117
Movie,Ordinary People,Eduardo Roy Jr.,Philippines,2020-06-26,2016,TV-MA,107 min,"Dramas, Independent Movies, International Movies",2020,6,26,107
Movie,Thackeray (Hindi),Abhijit Panse,India,2020-06-26,2019,TV-14,135 min,"Dramas, International Movies",2020,6,26,135
Movie,Krishna and His Leela,Ravikanth Perepu,India,2020-06-25,2020,TV-MA,126 min,"International Movies, Romantic Movies",2020,6,25,126
Movie,Prem Ratan Dhan Payo,Sooraj R. Barjatya,India,2020-06-25,2015,TV-14,164 min,"Action & Adventure, Dramas, International Movies",2020,6,25,164
Movie,Vivah,Sooraj R. Barjatya,India,2020-06-25,2006,TV-14,166 min,"Dramas, International Movies, Romantic Movies",2020,6,25,166
Movie,Athlete A,"Bonni Cohen, Jon Shenk",United States,2020-06-24,2020,PG-13,104 min,"Documentaries, Sports Movies",2020,6,24,104
Movie,Bulbbul,Anvita Dutt,India,2020-06-24,2020,TV-MA,94 min,"Horror Movies, International Movies",2020,6,24,94
Movie,Nobody Knows I'm Here,Gaspar Antillo,Chile,2020-06-24,2020,TV-MA,92 min,"Dramas, Independent Movies, International Movies",2020,6,24,92
Movie,Eric Andre: Legalize Everything,Eric Notarnicola,United States,2020-06-23,2020,TV-MA,52 min,Stand-Up Comedy,2020,6,23,52
Movie,Kappela,Musthafa,India,2020-06-22,2020,TV-14,112 min,"Dramas, Independent Movies, International Movies",2020,6,22,112
Movie,The Royal Hibiscus Hotel,Ishaya Bako,Nigeria,2020-06-22,2017,TV-PG,90 min,"Comedies, International Movies, Romantic Movies",2020,6,22,90
Movie,Woodshock,"Kate Mulleavy, Laura Mulleavy",United States,2020-06-21,2017,R,101 min,"Dramas, Independent Movies, Thrillers",2020,6,21,101
